D-CODE,Shape,Size A (mils),Size B (mils),Thickness (mils),Area Ratio,Aspect Ratio,Qtd,Volume cm³,Volume mils³
277,Squircle,24,54,12,0.6923076923076923,2,7,"0,00177923",108575.57424000002
278,Squircle,24,60,12,0.7142857142857143,2,6,"0,00169496",103432.77792000001
281,Squircle,24,68,12,0.7391304347826086,2,3,"0,00096075",58628.388960000004
280,Squircle,32,56,12,0.8484848484848485,2.6666666666666665,2,"0,00070342",42925.59264
279,Squircle,32,64,12,0.8888888888888888,2.6666666666666665,2,"0,00080411",49069.59264
186,Oblong,41.7244,31.4961,6,1.4956602258930218,5.24935,1,"0,00010828",6607.615612710875
232,Oblong,72.9055,31.4961,6,1.8328573816157991,5.24935,1,"0,00020484",12500.113874970877
185,Oblong,79.9173,31.4961,6,1.8826904068765518,5.24935,5,"0,00113277",69125.89999425437
184,Oblong,100.7795,31.4961,6,1.9997144912780587,5.24935,2,"0,00058232",35535.29524674175
293,Squircle,84,112,12,2,7,2,"0,00369872",225709.59264000002
189,Oblong,120.4646,31.4961,6,2.0806723317607774,5.24935,2,"0,00070424",42975.34178406175
228,Oblong,125.3425,31.4961,6,2.0975915762286834,5.24935,1,"0,00036723",22409.479849170875
212,Rectangle,165.7835,31.4961,6,2.205640156724263,5.24935,1,"0,00051339",31329.202166099996
227,Oblong,170.5551,31.4961,6,2.2155359982643015,5.24935,1,"0,00050724",30953.60327433088
223,Oblong,176.4781,31.4961,6,2.2271880700466693,5.24935,2,"0,00105116",64145.82335226177
210,Oblong,177.5945,31.4961,6,2.2293103768772964,5.24935,1,"0,00052904",32283.88515237088
229,Oblong,180.437,31.4961,6,2.2346131065652317,5.24935,1,"0,00053784",32821.051137870876
222,Oblong,200.8268,31.4961,6,2.2688468562074595,5.24935,1,"0,00060098",36674.24621655086
206,Rectangle,203.1143,31.4961,6,2.2723162543199282,5.24935,1,"0,00062900",38383.84982538
211,Oblong,205.1535,31.4961,6,2.2753525153327954,5.24935,1,"0,00061438",37491.89127177087
226,Oblong,209.9252,31.4961,6,2.282256885825733,5.24935,1,"0,00062916",38393.63091399087
221,Oblong,211.1257,31.4961,6,2.283951181004757,5.24935,3,"0,00189863",115861.49196687259
192,Oblong,212.5984,31.4961,6,2.2860068765170865,5.24935,4,"0,00254975",155595.2126444435
237,Oblong,218.58,31.4961,6,2.294107519671012,5.24935,1,"0,00065596",40029.185591670874
131,Round,55.1181,55.1181,6,2.2965875,9.18635,16,"0,00375362",229059.98312069036
188,Oblong,222.5472,31.4961,6,2.299269739292475,5.24935,6,"0,00400948",244673.3613551453
216,Oblong,223.4213,31.4961,6,2.300385538913782,5.24935,1,"0,00067095",40944.07800525088
218,Oblong,241.063,31.4961,6,2.3213755457990577,5.24935,1,"0,00072559",44277.946489470865
204,Oblong,243.5592,31.4961,6,2.3241280690101225,5.24935,1,"0,00073332",44749.66987839088
207,Oblong,244.5236,31.4961,6,2.325178166014962,5.24935,1,"0,00073630",44931.91891143087
235,Oblong,254.422,31.4961,6,2.3355466577666824,5.24935,1,"0,00076696",46802.48488887088
213,Oblong,258.4969,31.4961,6,2.3396094078391543,5.24935,5,"0,00389787",237862.72818105435
225,Oblong,265.2362,31.4961,6,2.346083736873269,5.24935,2,"0,00160089",97692.23127318174
187,Oblong,268.2874,31.4961,6,2.3489192420363363,5.24935,1,"0,00080989",49422.72103851086
220,Oblong,270.1809,31.4961,6,2.3506500452719297,5.24935,1,"0,00081576",49780.548230610875
233,Oblong,274.6535,31.4961,6,2.3546533299814856,5.24935,3,"0,00248882",151877.2949153126
234,Oblong,275.5439,31.4961,6,2.3554363787535824,5.24935,1,"0,00083237",50794.02973641087
